id,title,slug,posts,replies,highest_post_number,created_at,last_posted_at,bumped,bumped_at,unseen,pinned,visible,closed,archived,views,like_count,has_summary,category_id,pinned_globally,featured_link,has_accepted_answer
28673,Internet banking payments for floating interest loan,internet-banking-payments-for-floating-interest-loan,3,0,3,2017-10-13T09:14:12.914Z,2017-11-26T21:12:12.119Z,True,2017-11-26T21:12:12.119Z,False,False,True,False,False,1693,4,False,13,False,,False
28785,TotalMoney,totalmoney,2,0,2,2017-11-20T21:39:42.663Z,2017-11-23T03:05:44.036Z,True,2017-11-23T03:05:44.036Z,False,False,True,False,False,1372,0,False,12,False,,False
28768,Apple Pay: Have you joined the future?,apple-pay-have-you-joined-the-future,9,6,9,2017-11-12T19:48:05.094Z,2017-11-23T02:24:47.199Z,True,2017-11-23T02:24:47.199Z,False,False,True,False,False,4082,1,False,13,False,,False
28636,Mismatch Daily Statements v Monthly Statements,mismatch-daily-statements-v-monthly-statements,4,0,4,2017-09-24T21:40:37.908Z,2017-11-21T21:07:19.339Z,True,2017-11-21T21:07:19.339Z,False,False,True,False,False,1711,0,False,12,False,,False
28728,Greetings from the new Community Manager!,greetings-from-the-new-community-manager,3,1,3,2017-10-31T23:26:37.503Z,2017-11-19T19:28:14.695Z,True,2017-11-19T19:28:14.695Z,False,False,True,False,False,2524,4,False,10,False,,False
28778,Those Nasty Phishing Emails!,those-nasty-phishing-emails,2,0,2,2017-11-17T00:00:25.172Z,2017-11-17T03:46:52.440Z,True,2017-11-17T03:46:52.440Z,False,False,True,False,False,2393,3,False,12,False,,False
28776,Statements,statements,2,0,2,2017-11-16T22:44:29.085Z,2017-11-17T00:42:31.357Z,True,2017-11-17T00:42:31.357Z,False,False,True,False,False,1443,0,False,13,False,,False
28770,What Are The Odds of Someone Guessing Your PIN?,what-are-the-odds-of-someone-guessing-your-pin,1,0,1,2017-11-14T19:44:44.247Z,2017-11-14T19:44:44.326Z,True,2017-11-14T19:44:44.326Z,False,False,True,False,False,2340,1,False,12,False,,False
28760,New Twist On Current Scam,new-twist-on-current-scam,2,0,2,2017-11-08T05:34:11.072Z,2017-11-11T20:24:05.129Z,True,2017-11-11T20:24:05.129Z,False,False,True,False,False,1765,3,False,12,False,,False
28668,Changing a Password Clarity,changing-a-password-clarity,3,0,3,2017-10-11T03:11:38.670Z,2017-10-12T21:20:33.163Z,True,2017-11-08T17:37:54.620Z,False,False,True,False,False,1691,2,False,13,False,,False
